parasha,candle,havdalah,mevorchim,is_dst
האזינו שבת שובה,18:16,19:17,0,1
שבת חג הסוכות,18:06,19:07,0,1
"שמיני עצרת ושמ""ת",17:57,18:58,0,1
בראשית,17:48,18:50,1,1
נח,17:40,18:42,0,1
לך לך,17:32,18:34,0,1
וירא,16:25,17:28,0,0
חיי שרה,16:20,17:23,1,0
תולדות,16:15,17:19,0,0
ויצא,16:12,17:16,0,0
וישלח,16:09,17:14,0,0
וישב שבת חנוכה,16:09,17:14,1,0
מקץ זאת חנוכה,16:10,17:15,0,0
ויגש,16:12,17:18,0,0
ויחי,16:16,17:22,0,0
שמות,16:20,17:26,1,0
וארא,16:26,17:32,0,0
בא,16:32,17:37,0,0
בשלח שבת שירה,16:38,17:43,0,0
יתרו,16:44,17:49,0,0
משפטים,16:51,17:55,1,0
תרומה,16:57,18:01,0,0
תצוה,17:03,18:06,0,0
כי תשא,17:08,18:12,0,0
ויקהל שבת שקלים,17:14,18:17,1,0
פקודי,17:19,18:22,0,0
ויקרא שבת זכור,17:24,18:27,0,0
צו שבת פרה,18:29,19:32,0,1
שמיני שבת החודש,18:33,19:37,1,1
תזריע,18:38,19:42,0,1
מצורע שבת הגדול,18:43,19:48,0,1
"שבת חוה""מ פסח",18:48,19:53,0,1
אחרי מות,18:53,19:59,1,1
קדושים,18:58,20:04,0,1
אמור,19:03,20:10,0,1
בהר,19:08,20:15,0,1
בחוקותי,19:13,20:20,0,1
במדבר,19:17,20:25,1,1
חג השבועות,19:20,20:28,0,1
בהעלותך,19:22,20:31,0,1
שלח לך,19:24,20:32,0,1
קרח,19:24,20:32,1,1
חוקת,19:23,20:30,0,1
בלק,19:21,20:27,0,1
פנחס,19:17,20:23,0,1
מטות מסעי,19:13,20:18,1,1
דברים שבת חזון,19:07,20:11,0,1
ואתחנן,19:00,20:04,0,1
עקב,18:52,19:55,0,1
ראה,18:44,19:47,1,1
שופטים,18:36,19:37,0,1
כי תצא,18:26,19:28,0,1
כי תבוא,18:17,19:18,0,1
נצבים וילך,18:08,19:09,0,1
שבת ראש השנה,17:59,19:00,0,1
